T,RH,TOW,Prec,SO2,H+,CR
9.9,83,5459,904.2,10.1,0,9.929999999
10.9,79,4482,705.9,8.5,0.0046,8.14
9.5,82,4808,872.8,7.4,0.004,7.920000001
10.3,83,5358,987.1,4.7,0.0366,4.75
11,81,4969,569.1,9.9,0.0049,9.069999999
10,82,5084,749.2,8.3,0.0021,11.09
11.1,77,4424,608.8,10.3,0.0106,10.22
10.1,81,4688,679.6,9.3,0.0113,11.38
11.1,82,5141,789.9,5.8,0.0038,6.339999997
8.8,70,2864,526.6,7.9,0.0326,5.689999999
7.7,68,2471,440.1,6,0.0156,6.699999997
7.5,69,2827,680,2.9,0.0136,3.53
7.4,77,4193,1762.2,0.9,0.042,8.499999996
5.9,75,3341,1188.6,0.7,0.0374,10.58
6.4,76,3779,1419.7,0.7,0.0326,5.04
7.6,78,3959,531,16.8,0,10.36
8.7,70,3074,473.2,8.4,0.0366,6.120000003
7,70,2580,577,5.7,0.043,4.54
7.5,73,3160,580.6,4.2,0.0231,4.25
7.6,78,3959,531,19.6,0,9.759999996
8.7,70,3074,473.2,10.3,0.0366,5.620000001
7,70,2580,577,4.7,0.043,3.53
7.5,73,3160,580.6,3.4,0.0231,3.53
6,83,4534,542.7,3.3,0,8.310000001
7.6,77,3469,342.3,2,0.043,6.699999997
6,81,3592,467.8,1.3,0.043,4.899999999
6.8,82,4118,525.2,1.1,0.0278,6.05
14.1,66,2762,398,18.4,0,7.740000003
15.2,56,1160,331.5,15.3,0.0073,4.82
14.3,67,2319,360.1,8.2,0.0003,3.53
15.7,68,2766,223.9,7.8,0.0002,2.3
14,64,2275,785,3.3,0,3.369999999
15.5,61,2147,610.4,13.5,0.0006,3.890000001
13.4,61,1888,432.5,1.7,0.0012,3.890000001
14.8,57,1465,327.4,4.2,0.0006,1.659999999
5.5,73,2084,575.4,19.2,0,10.32
5.7,76,2894,860.2,30.8,0.0006,8.640000002
5.7,74,2444,880.6,28.7,0.0009,6.479999998
5.6,71,1514,666.7,16.4,0.0008,4.61
5.5,83,4092,447.8,0.9,0,7.18
6.7,81,4332,532.7,0.6,0.0226,9.430000003
5.5,75,3252,961.1,3.3,0,9.880000002
5,79,3431,1103,3,0.042,6.259999999
4.3,80,3302,1080,2.1,0.0482,5.260000001
5.2,80,3386,1022.8,3.3,0.0461,6.190000002
14.6,69,3178,846.7,9.6,0,10.72
16.3,66,3026,1106.7,9.2,0.0358,12.46
15.5,64,2644,982.3,10.1,0.0349,9.719999995
15.8,68,0,1037.6,9.3,0.0482,4.75
12.3,67,2111,733.1,58.1,0,13.61
11.2,61,1391,967.4,55.2,0.0838,11.02
11.8,65,1532,729.4,43.1,0.0941,7.340000003
11.8,69,0,756.8,38.3,0.0765,5.260000001
16.7,75,5063,1729,10,0,8.060000004
17.1,72,4222,983,10,0,7.559999999
17,74,4862,1420,9,0,10.15
20.6,76,5825,2158,5,0,14.76
20.9,74,5528,2624,5,0,8.419999998
22.1,75,5545,1720,5,0,8.499999996
18,51,999,35,5,0,2.019999999
20,49,850,111,5,0,0.94
18.3,51,867,93,5,0,1.58
17,78,5195,1178,6.22,0,5.540000001
16.7,77,4949,1263,8.21,0,6.699999997
16.6,78,5528,1361,6.2,0,7.490000004
21.2,75,4222,996,1.67,0,4.319999999
19.7,75,5676,1409,67.2,0,8.570000003
19.5,76,5676,1810,66.8,0,10.66
19.6,75,5676,1034,48.8,0,6.980000002
26.1,88,5974,2395,5,0,7.920000001
20.4,69,3872,1440,5,0,12.81999999
25.9,77,1507,1392,5,0,11.52
26.6,90,4222,2096,5,0,23.83
9.6,98,8760,1800,0.56,0,24.48000001
11.4,90,8760,1800,0.56,0,25.78000001
13.5,81,8760,1800,0.56,0,20.88
27,76,2891,900,0.33,0,18.65
27,76,2891,900,0.33,0,27
27,76,2891,900,0.33,0,25.56000001
26.1,71,4853,936,4.2,0,1.08
26.9,82,5790,635,2.72,0,1.15
24.8,75,3101,564,2.1,0,2.380000001
12,69,3364,652,1.18,0,3.019999999
10.6,65,2374,495,1.18,0,2.88
11.1,63,2111,334,1.18,0,2.09
18.1,65,3416,554,8.3,0,1.94
17,63,2646,521,5.7,0,1.51
17.2,62,2768,374,1.9,0,1.94
16.3,59,1323,416,10.3,0,1.01
15,59,1104,258,5.4,0,0.65
15.6,58,2400,266,2.8,0,0.65
8.8,52,876,738,9.1,0,1.659999999
6.9,52,876,624,8.9,0,1.22
7.8,52,876,681,9,0,3.099999998
16,62,2523,743,15.6,0,5.829999998
14.8,66,2523,747,7.7,0,5.98
15.4,64,2523,747,17.5,0,5.829999998
21,56,1664,1352,6.7,0,8.350000001
21,56,1857,1724,9.9,0,14.33
21,56,1752,1372,7.1,0,6.840000003
18,51,1410,374,31.1,0,10.01
18,62,1410,374,10.9,0,21.23999999
18,60,2646,374,14.6,0,7.060000003
16.4,37,26,17,5,0,1.659999999
17.2,33,175,34,5,0,1.58
12.2,67,2847,632,0,0,3.890000001
12.2,67,2689,672,0,0,2.88
25.4,84,5037,1523,5,0,7.060000003
25.8,83,5790,1158,5,0,7.490000004
16.8,74,5133,1182,0.6,0,4.03
16.6,73,4976,1324,0.8,0,3.739999998
16.7,76,4792,1306,0.8,0,4.100000001
17.7,79,5764,1490,0.8,0,4.39
14.2,71,3469,355,20,0,12.89
-12.2,80,0,218,3,0,1.64
-16.6,71,0,175,3,0,1.809999999
-11,70,0,317,5,0,2.909999999
-12,72,0,376,3,0,1.69
-13.2,71,0,293,10,0,3.070000001
-6.5,72,0,525,5,0,5.300000002
1.4,69,0,272,3,0,2.03
-6.2,72,0,624,5,0,5.469999998
-0.9,77,0,604,3,0,4.300000001
2.5,70,0,626,3,0,4.639999999
3.6,67,0,595,3,0,4.319999999
-0.7,76,0,558,10,0,6.350000001
-15.5,68,0,306,3,0,1.24
-0.4,71,0,403,4,0,3.840000002
5,79,0,570,14,0,7.409999998
9,81,0,700,3,0,7.030000001
